city,state_id,state_name,lat,lng
Eldon,MO,Missouri,38.3511,-92.5766
Mount Olive,NC,North Carolina,35.1997,-78.0662
Highland Lakes,NJ,New Jersey,41.1716,-74.4643
Bethel Manor,VA,Virginia,37.0972,-76.4243
Fortville,IN,Indiana,39.9246,-85.8466
Moses Lake North,WA,Washington,47.1949,-119.3178
Tulia,TX,Texas,34.5374,-101.7741
Wanamassa,NJ,New Jersey,40.2366,-74.0294
Lindstrom,MN,Minnesota,45.387,-92.8477
West Ocean City,MD,Maryland,38.3466,-75.1122
Edinburgh,IN,Indiana,39.3509,-85.9625
Pleasant View,TN,Tennessee,36.3893,-87.0455
Blackwood,NJ,New Jersey,39.7982,-75.0629
Granite Falls,NC,North Carolina,35.797,-81.4237
Westwood,KY,Kentucky,38.4806,-82.6798
Neptune City,NJ,New Jersey,40.2005,-74.0333
Dansville,NY,New York,42.5625,-77.6968
Mansfield,LA,Louisiana,32.0355,-93.7004
Kingsville,MD,Maryland,39.4496,-76.4205
Lake Tansi,TN,Tennessee,35.8701,-85.0614
Jim Thorpe,PA,Pennsylvania,40.8712,-75.7433
La Grange,TX,Texas,29.9129,-96.8768
Pittsburg,TX,Texas,32.9996,-94.9668
Brisbane,CA,California,37.6902,-122.4021
Edenton,NC,North Carolina,36.0579,-76.6008
East Freehold,NJ,New Jersey,40.2718,-74.2425
Crooked River Ranch,OR,Oregon,44.4242,-121.2757
Fox River Grove,IL,Illinois,42.1955,-88.2147
West York,PA,Pennsylvania,39.9534,-76.761
Lemoyne,PA,Pennsylvania,40.2442,-76.8991
Todd Creek,CO,Colorado,39.9797,-104.8734
Farrell,PA,Pennsylvania,41.2112,-80.4971
Rock Hill,MO,Missouri,38.6091,-90.3673
Liberty Hill,TX,Texas,30.6638,-97.9063
Higginsville,MO,Missouri,39.0652,-93.727
Crouch Mesa,NM,New Mexico,36.748,-108.0853
New Boston,TX,Texas,33.4612,-94.4183
Whitehouse,OH,Ohio,41.5215,-83.7958
Phoenix,OR,Oregon,42.2749,-122.8154
Bargaintown,NJ,New Jersey,39.3687,-74.5924
Hawaiian Beaches,HI,Hawaii,19.5447,-154.9288
Three Points,AZ,Arizona,32.0596,-111.2866
Charlotte Harbor,FL,Florida,26.9629,-82.0571
Old Westbury,NY,New York,40.7866,-73.5975
Danville,PA,Pennsylvania,40.9615,-76.6121
Lake Goodwin,WA,Washington,48.1343,-122.2785
Sandy Oaks,TX,Texas,29.1821,-98.4081
Silverthorne,CO,Colorado,39.6562,-106.0869
Newport,NC,North Carolina,34.772,-76.8772
North Kansas City,MO,Missouri,39.1396,-94.5641
Buffalo,WY,Wyoming,44.3427,-106.7139
Quinnipiac University,CT,Connecticut,41.4174,-72.8992
Blakely,GA,Georgia,31.3827,-84.9228
Redland,AL,Alabama,32.4754,-86.1375
Columbiana,AL,Alabama,33.193,-86.6114
Flemington,NJ,New Jersey,40.5087,-74.8599
King George,VA,Virginia,38.2807,-77.1896
Tuscola,IL,Illinois,39.7968,-88.2749
Medina,TX,Texas,26.9289,-99.2614
Winnsboro,LA,Louisiana,32.165,-91.721
Deale,MD,Maryland,38.791,-76.5469
Wayzata,MN,Minnesota,44.967,-93.516
Mount Ephraim,NJ,New Jersey,39.8805,-75.0918
Breckenridge Hills,MO,Missouri,38.7158,-90.3684
Montebello,NY,New York,41.1317,-74.1135
Palacios,TX,Texas,28.7171,-96.2334
Haleiwa,HI,Hawaii,21.5965,-158.1003
Ivanhoe,CA,California,36.3834,-119.22
Pine Manor,FL,Florida,26.573,-81.8774
Boiling Springs,NC,North Carolina,35.2522,-81.6636
Donora,PA,Pennsylvania,40.1789,-79.8625
Marseilles,IL,Illinois,41.3099,-88.685
Friendship Heights Village,MD,Maryland,38.9633,-77.0898
Bridgeport,PA,Pennsylvania,40.1042,-75.3437
Lake Wisconsin,WI,Wisconsin,43.3739,-89.5858
Canastota,NY,New York,43.0836,-75.7559
Humboldt,IA,Iowa,42.7229,-94.2241
Portola Valley,CA,California,37.3711,-122.2202
Longbranch,WA,Washington,47.2257,-122.7739
Rio Communities,NM,New Mexico,34.6459,-106.7164
Hollister,MO,Missouri,36.6057,-93.2339
Raynham Center,MA,Massachusetts,41.9327,-71.0431
Haskell,AR,Arkansas,34.5095,-92.6406
Hawthorne,NY,New York,41.1035,-73.7968
Brooktrails,CA,California,39.4429,-123.3963
Castle Pines Village,CO,Colorado,39.4418,-104.897
Avalon,PA,Pennsylvania,40.5011,-80.068
Luverne,MN,Minnesota,43.6531,-96.2148
Belfair,WA,Washington,47.4495,-122.8487
Sunnyside,CA,California,36.7294,-119.6945
Kings Park,VA,Virginia,38.8026,-77.2396
Vilonia,AR,Arkansas,35.0807,-92.2088
Ridge Manor,FL,Florida,28.4988,-82.1832
Morgan's Point Resort,TX,Texas,31.1519,-97.4587
San Carlos,AZ,Arizona,33.35,-110.4654
Daytona Beach Shores,FL,Florida,29.1696,-80.9796
Beattystown,NJ,New Jersey,40.8222,-74.8502
Flourtown,PA,Pennsylvania,40.1039,-75.2069
Piedmont,AL,Alabama,33.9269,-85.6149
Lorane,PA,Pennsylvania,40.2921,-75.8486
Brewerton,NY,New York,43.2345,-76.141
Point Pleasant Beach,NJ,New Jersey,40.0928,-74.0459
Reedurban,OH,Ohio,40.7979,-81.4358
Gibraltar,MI,Michigan,42.096,-83.2029
South Bound Brook,NJ,New Jersey,40.5535,-74.5277
Dardanelle,AR,Arkansas,35.2263,-93.1649
Lexington,MO,Missouri,39.1798,-93.8694
Creedmoor,NC,North Carolina,36.1224,-78.6757
Scott City,MO,Missouri,37.2243,-89.536
Negaunee,MI,Michigan,46.497,-87.5968
Oak Hill,TN,Tennessee,36.0735,-86.7856
Hayfield,VA,Virginia,38.7536,-77.1321
Ardsley,NY,New York,41.0134,-73.8394
Ludlow,KY,Kentucky,39.0904,-84.5498
The Pinehills,MA,Massachusetts,41.8946,-70.5966
Spring Lake Heights,NJ,New Jersey,40.1521,-74.043
Bayside,WI,Wisconsin,43.1827,-87.9017
Staunton,IL,Illinois,39.0116,-89.791
Coopertown,TN,Tennessee,36.4142,-86.9658
Hancock,MI,Michigan,47.1367,-88.5979
New Burlington,OH,Ohio,39.2628,-84.5501
Aurora,NE,Nebraska,40.8645,-98.0078
Wahoo,NE,Nebraska,41.2166,-96.6172
Piney,AR,Arkansas,34.5024,-93.142
Oconto,WI,Wisconsin,44.8923,-87.8715
Verdigris,OK,Oklahoma,36.2536,-95.66
Social Circle,GA,Georgia,33.6505,-83.7116
Comerío,PR,Puerto Rico,18.22,-66.2246
Wiggins,MS,Mississippi,30.8557,-89.1386
Cornelia,GA,Georgia,34.517,-83.5311
West Peoria,IL,Illinois,40.697,-89.6399
Ogallala,NE,Nebraska,41.1292,-101.7211
Wauna,WA,Washington,47.386,-122.6695
East Petersburg,PA,Pennsylvania,40.1006,-76.3511
Edwardsville,KS,Kansas,39.0765,-94.8166
Placitas,NM,New Mexico,35.3226,-106.4437
West Bay Shore,NY,New York,40.6948,-73.2618
Capitol Heights,MD,Maryland,38.8765,-76.9075
Jonesboro,LA,Louisiana,32.2348,-92.7098
Heeia,HI,Hawaii,21.4205,-157.8205
Smithville,TX,Texas,30.0082,-97.152
New Roads,LA,Louisiana,30.6959,-91.4537
Louisburg,KS,Kansas,38.6202,-94.677
Royal Pines,NC,North Carolina,35.4783,-82.5038
Benton,KY,Kentucky,36.8479,-88.3602
Poplar Grove,IL,Illinois,42.3517,-88.8353
Whiteland,IN,Indiana,39.5505,-86.0739
Littlestown,PA,Pennsylvania,39.7452,-77.0892
Newton Falls,OH,Ohio,41.1889,-80.9711
Mount Vernon,MO,Missouri,37.105,-93.819
Ligonier,IN,Indiana,41.4625,-85.5948
Scottsville,KY,Kentucky,36.7544,-86.2053
Denton,MD,Maryland,38.877,-75.8264
Mount Vernon,IA,Iowa,41.9232,-91.4243
La Vale,MD,Maryland,39.6625,-78.8229
Ottawa Hills,OH,Ohio,41.6682,-83.6433
Bremen,IN,Indiana,41.4484,-86.1505
Thornwood,NY,New York,41.1184,-73.7795
Whiteville,TN,Tennessee,35.318,-89.1498
Rockford,MN,Minnesota,45.092,-93.7453
Gifford,FL,Florida,27.6756,-80.4252
Sayre,OK,Oklahoma,35.2966,-99.6286
Berwick,LA,Louisiana,29.7013,-91.2377
Holtville,AL,Alabama,32.6314,-86.3268
Westover,WV,West Virginia,39.6329,-79.9882
South Greeley,WY,Wyoming,41.0929,-104.8066
Watertown,MN,Minnesota,44.9604,-93.8431
Viroqua,WI,Wisconsin,43.5603,-90.8858
Sherman,IL,Illinois,39.8876,-89.6066
Surfside Beach,SC,South Carolina,33.6093,-78.9772
Fort Pierce South,FL,Florida,27.4098,-80.3539
Sauk Centre,MN,Minnesota,45.736,-94.9523
Wellington,OH,Ohio,41.1613,-82.2255
Wamego,KS,Kansas,39.2054,-96.3099
Heritage Village,CT,Connecticut,41.4855,-73.2349
Kaplan,LA,Louisiana,30.006,-92.284
Buhl,ID,Idaho,42.5984,-114.7596
Fabens,TX,Texas,31.5136,-106.1521
Castle Hills,TX,Texas,29.5229,-98.5197
Amite City,LA,Louisiana,30.7323,-90.5133
Farley,KY,Kentucky,37.0405,-88.5734
East Palestine,OH,Ohio,40.8392,-80.5467
Pilot Point,TX,Texas,33.3949,-96.9497
Wingate,NC,North Carolina,34.9859,-80.448
Landing,NJ,New Jersey,40.9078,-74.6593
Searingtown,NY,New York,40.7705,-73.6603
Shelley,ID,Idaho,43.3795,-112.1261
Marlow,OK,Oklahoma,34.6296,-97.9578
Millis-Clicquot,MA,Massachusetts,42.1648,-71.3544
Orangeburg,NY,New York,41.0488,-73.9408
Montoursville,PA,Pennsylvania,41.2472,-76.9184
Sullivan,IL,Illinois,39.5951,-88.6084
Tri-City,OR,Oregon,42.9894,-123.2999
Saukville,WI,Wisconsin,43.3847,-87.9439
Millsboro,DE,Delaware,38.5892,-75.3089
Florence,MS,Mississippi,32.1557,-90.1225
Winfield,AL,Alabama,33.9334,-87.7961
Beecher,IL,Illinois,41.35,-87.6172
Lebanon,IL,Illinois,38.6005,-89.8114
Dilley,TX,Texas,28.6675,-99.1765
Armonk,NY,New York,41.1319,-73.7138
Parker,FL,Florida,30.1289,-85.6008
Miami Heights,OH,Ohio,39.1676,-84.7152
Seven Lakes,NC,North Carolina,35.2647,-79.5865
Armona,CA,California,36.3166,-119.7054
Belton,SC,South Carolina,34.5237,-82.4938
Falfurrias,TX,Texas,27.2243,-98.1452
Newport,SC,South Carolina,34.9833,-81.0992
Lenwood,CA,California,34.8861,-117.1078
Springville,AL,Alabama,33.7643,-86.4742
Dilworth,MN,Minnesota,46.8795,-96.6985
Church Point,LA,Louisiana,30.4037,-92.2145
Pendleton,IN,Indiana,40.0066,-85.7711
McSwain,CA,California,37.3145,-120.5868
Indian Mountain Lake,PA,Pennsylvania,41.0003,-75.5058
Fruit Hill,OH,Ohio,39.0699,-84.367
Spurgeon,TN,Tennessee,36.443,-82.4621
Perryville,MD,Maryland,39.5737,-76.0668
Windom,MN,Minnesota,43.8736,-95.1201
Hearne,TX,Texas,30.877,-96.5956
Valdese,NC,North Carolina,35.7566,-81.5634
Park Layne,OH,Ohio,39.8881,-84.0394
Winnfield,LA,Louisiana,31.924,-92.6425
Jenkintown,PA,Pennsylvania,40.0962,-75.1296
Treasure Lake,PA,Pennsylvania,41.1677,-78.7187
Cramerton,NC,North Carolina,35.2343,-81.0734
Mount Hermon,VA,Virginia,36.6716,-79.4202
Algood,TN,Tennessee,36.2,-85.4468
Jessup,PA,Pennsylvania,41.4622,-75.5478
Ashdown,AR,Arkansas,33.6746,-94.1265
Georgetown,OH,Ohio,38.8684,-83.8992
St. James,MN,Minnesota,43.9833,-94.6249
West Jefferson,OH,Ohio,39.9475,-83.3076
Rogersville,TN,Tennessee,36.4081,-83.0043
California,MO,Missouri,38.6303,-92.567
Running Springs,CA,California,34.2104,-117.1147
Esperance,WA,Washington,47.7937,-122.3469
Pinetop-Lakeside,AZ,Arizona,34.1486,-109.9657
Clearlake Riviera,CA,California,38.9513,-122.7208
Crestline,OH,Ohio,40.7836,-82.7458
Larksville,PA,Pennsylvania,41.2639,-75.9327
Dundee,MI,Michigan,41.9642,-83.6636
Mount Orab,OH,Ohio,39.0293,-83.9267
Hurstbourne,KY,Kentucky,38.2379,-85.5891
Metzger,OR,Oregon,45.4493,-122.7621
Blanchester,OH,Ohio,39.2934,-83.9795
Russell,KS,Kansas,38.8874,-98.8514
Whitfield,FL,Florida,27.4116,-82.5659
Jacksboro,TX,Texas,33.2256,-98.1594
Tarentum,PA,Pennsylvania,40.6043,-79.7602
Prairie du Sac,WI,Wisconsin,43.292,-89.7353
Ste. Genevieve,MO,Missouri,37.9755,-90.0477
Carolina Shores,NC,North Carolina,33.9077,-78.574
Sparta,MI,Michigan,43.1571,-85.7106
Rosedale,WA,Washington,47.3452,-122.6369
Longview Heights,WA,Washington,46.1794,-122.9568
Coopersville,MI,Michigan,43.0658,-85.9341
Senoia,GA,Georgia,33.3082,-84.5546
Reminderville,OH,Ohio,41.3338,-81.4018
La Verkin,UT,Utah,37.2309,-113.2523
Hartwell,GA,Georgia,34.3496,-82.9289
Edgewood,OH,Ohio,41.8783,-80.7461
Beaufort,NC,North Carolina,34.73,-76.6493
Boalsburg,PA,Pennsylvania,40.7783,-77.7734
Archbold,OH,Ohio,41.5166,-84.3039
Walhalla,SC,South Carolina,34.7705,-83.0615
South Hill,VA,Virginia,36.7254,-78.1287
La Joya,TX,Texas,26.2518,-98.4699
Barnwell,SC,South Carolina,33.2419,-81.3659
Okauchee Lake,WI,Wisconsin,43.1256,-88.4385
North Terre Haute,IN,Indiana,39.537,-87.3653
Isle of Palms,SC,South Carolina,32.8043,-79.7552
Mary Esther,FL,Florida,30.4127,-86.6588
Hamburg,PA,Pennsylvania,40.5561,-75.9825
Lares,PR,Puerto Rico,18.2964,-66.8836
Clarkdale,AZ,Arizona,34.7501,-112.0555
Skyline View,PA,Pennsylvania,40.3376,-76.7256
Lawrenceville,IL,Illinois,38.7264,-87.6873
Wrightwood,CA,California,34.3495,-117.63
East Village,CT,Connecticut,41.3612,-73.1845
Union Mill,VA,Virginia,38.7978,-77.3815
Captain Cook,HI,Hawaii,19.4995,-155.8937
Adjuntas,PR,Puerto Rico,18.1638,-66.7235
Swannanoa,NC,North Carolina,35.6009,-82.3917
Rockmart,GA,Georgia,34.0103,-85.044
Nashville,AR,Arkansas,33.9418,-93.8516
Holt,AL,Alabama,33.2302,-87.4827
Long Hill,CT,Connecticut,41.3536,-72.0517
Harbison Canyon,CA,California,32.8273,-116.8381
Caldwell,TX,Texas,30.5307,-96.7007
Mauston,WI,Wisconsin,43.7995,-90.0775
Utqiagvik,AK,Alaska,71.2727,-156.7575
St. Bernard,OH,Ohio,39.1711,-84.4955
Oak Grove,TN,Tennessee,36.4222,-82.4293
Aubrey,TX,Texas,33.2874,-96.9622
Mountain Home,NC,North Carolina,35.3708,-82.5021
Summerside,OH,Ohio,39.1187,-84.2861
Clintonville,WI,Wisconsin,44.6222,-88.7513
West Hazleton,PA,Pennsylvania,40.9701,-76.0142
Beach Haven West,NJ,New Jersey,39.6703,-74.2338
Lake of the Pines,CA,California,39.0357,-121.059
El Jebel,CO,Colorado,39.405,-107.0921
Ottawa,OH,Ohio,41.0202,-84.0354
Euharlee,GA,Georgia,34.1441,-84.9327
Bayou Vista,LA,Louisiana,29.6912,-91.2672
King City,OR,Oregon,45.4012,-122.8069
Walton,KY,Kentucky,38.8645,-84.6122
Camanche,IA,Iowa,41.7923,-90.277
Elberton,GA,Georgia,34.1063,-82.8705
Garwood,NJ,New Jersey,40.6513,-74.3231
Tontitown,AR,Arkansas,36.1642,-94.2457
South Haven,MI,Michigan,42.4011,-86.2677
Berryville,VA,Virginia,39.1504,-77.9825
Glassport,PA,Pennsylvania,40.3261,-79.8861
Jourdanton,TX,Texas,28.9141,-98.5409
Taylor Creek,FL,Florida,27.2173,-80.7925
Harrogate,TN,Tennessee,36.5752,-83.6462
Reidland,KY,Kentucky,37.0085,-88.5261
Dillon,MT,Montana,45.218,-112.6345
Woodruff,SC,South Carolina,34.7421,-82.0371
Del Mar,CA,California,32.9635,-117.2624
Selmer,TN,Tennessee,35.1708,-88.5955
Fayette,AL,Alabama,33.6943,-87.8307
Roseburg North,OR,Oregon,43.2662,-123.3477
Suquamish,WA,Washington,47.7238,-122.583
Loch Lomond,VA,Virginia,38.7812,-77.4817
Nikiski,AK,Alaska,60.7152,-151.2317
Buena,NJ,New Jersey,39.5282,-74.9448
Coleman,TX,Texas,31.8317,-99.4223
Pixley,CA,California,35.9785,-119.3003
Riva,MD,Maryland,38.9448,-76.5876
Grantley,PA,Pennsylvania,39.9386,-76.7297
Cornwall,PA,Pennsylvania,40.2659,-76.4077
